abandons, simple present, abandon
kneeing, present participle, knee
knives, plural form, knife
knifes, simple present, knife
knifing, present participle, knife
knifed, past tense, knife
knocks, plural form, knock
knocking, present participle, knock
knocked, past tense, knock
knows, simple present, know
knowing, present participle, know
knew, past tense, know
known, past participle, know
labs, plural form, lab
labels, plural form, label
labelling, present participle, label
labelled, past participle, label
laboratories, plural form, laboratory
labours, simple present, labour
labouring, present participle, labour
laboured, past tense, labour
lacks, simple present, lack
lacking, present participle, lack
lacked, past tense, lack
ladies, plural form, lady
lakes, plural form, lake
lamps, plural form, lamp
lands, plural form, land
landing, present participle, land
landed, past participle, land
landscapes, simple present, landscape
landscaping, present participle, landscape
landscaped, past tense, landscape
languages, plural form, language
laptops, plural form, laptop
larger, comparative degree, large
largest, superlative, large
lasts, plural form, last
lasting, present participle, last
lasted, past participle, last
later, comparative degree, late
latest, superlative, late
latest, superlative, later
laughed, past participle, laugh
laughing, present participle, laugh
laughs, simple present, laugh
launches, plural form, launch
launching, present participle, launch
launched, past tense, launch
laws, plural form, law
lawyers, plural form, lawyer
lays, simple present, lay
laying, present participle, lay
laid, past tense, lay
layers, simple present, layer
layering, present participle, layer
layered, past tense, layer
lazier, comparative degree, lazy
laziest, superlative, lazy
leads, plural form, lead
leaded, past participle, lead
leading, present participle, lead
led, past tense, lead
leaders, plural form, leader
leaderships, plural form, leadership
leaves, plural form, leaf
leafed, past participle, leaf
leafing, present participle, leaf
leafs, simple present, leaf
leagued, past participle, league
leaguing, present participle, league
leagues, simple present, league
leans, simple present, lean
leaning, present participle, lean
leant, past participle, lean
leaner, comparative degree, lean
leanest, superlative, lean
learned, past participle, learn
learning, present participle, learn
learns, simple present, learn
learnt, past tense, learn
leathers, plural form, leather
leathered, past participle, leather
leathering, present participle, leather
leaved, past participle, leave
leaving, present participle, leave
leaves, simple present, leave
left, past tense, leave
lectures, plural form, lecture
lectured, past participle, lecture
lecturing, present participle, lecture
lefts, plural form, left
legs, simple present, leg
legging, present participle, leg
legged, past tense, leg
lemons, plural form, lemon
lent, past participle, lend
lending, present participle, lend
lends, simple present, lend
lengths, plural form, length
lessons, plural form, lesson
lessoning, present participle, lesson
lessoned, past participle, lesson
lets, plural form, let
letting, present participle, let
letters, plural form, letter
lettered, past participle, letter
lettering, present participle, letter
levels, simple present, level
levelling, present participle, level
levelled, past tense, level
libraries, plural form, library
licences, plural form, licence
lies, plural form, lie
lying, present participle, lie
lay, past tense, lie
lain, past participle, lie
lives, plural form, life
lifestyles, plural form, lifestyle
lifts, plural form, lift
lifted, past participle, lift
lifting, present participle, lift
lights, simple present, light
lighting, present participle, light
lit, past tense, light
lighter, comparative degree, light
lightest, superlative, light
likes, simple present, like
liking, present participle, like
liked, past tense, like
likelier, comparative degree, likely
likeliest, superlative, likely
limits, plural form, limit
limiting, present participle, limit
limited, past tense, limit
lines, simple present, line
lining, present participle, line
lined, past tense, line
links, simple present, link
linking, present participle, link
linked, past tense, link
lions, plural form, lion
lips, plural form, lip
lipped, past participle, lip
lipping, present participle, lip
liquids, plural form, liquid
lists, plural form, list
listing, present participle, list
listed, past participle, list
listens, simple present, listen
listening, present participle, listen
listened, past tense, listen
listeners, plural form, listener
less, comparative degree, little
least, superlative, little
littler, comparative degree, little
littlest, superlative, little
lived, past participle, live
living, present participle, live
lives, simple present, live
livelier, comparative degree, lively
liveliest, superlative, lively
livings, plural form, living
loads, plural form, load
loading, present participle, load
loaded, past participle, load
loans, plural form, loan
loaned, past participle, loan
loaning, present participle, loan
locals, plural form, local
located, past participle, locate
locating, present participle, locate
locates, simple present, locate
locations, plural form, location
locks, plural form, lock
locking, present participle, lock
locked, past tense, lock
lonelier, comparative degree, lonely
loneliest, superlative, lonely
longer, comparative degree, long
longest, superlative, long
longs, plural form, long
longed, past participle, long
longing, present participle, long
looked, past participle, look
looking, present participle, look
looks, simple present, look
looses, simple present, loose
loosing, present participle, loose
loosed, past tense, loose
looser, comparative degree, loose
loosest, superlative, loose
lords, plural form, lord
lording, present participle, lord
lorded, past participle, lord
lorries, plural form, lorry
loses, simple present, lose
losing, present participle, lose
lost, past tense, lose
losses, plural form, loss
lots, plural form, lot
louder, comparative degree, loud
loudest, superlative, loud
loves, plural form, love
loved, past participle, love
loving, present participle, love
lovelier, comparative degree, lovely
loveliest, superlative, lovely
lovelies, plural form, lovely
lower, comparative degree, low
lowest, superlative, low
lows, plural form, low
lowing, present participle, low
lowed, past participle, low
lowering, present participle, lower
lowered, past tense, lower
lowers, simple present, lower
luckier, comparative degree, lucky
luckiest, superlative, lucky
lunches, plural form, lunch
lunched, past participle, lunch
lunching, present participle, lunch
lungs, plural form, lung
luxuries, plural form, luxury
machines, plural form, machine
machining, present participle, machine
machined, past tense, machine
madder, comparative degree, mad
maddest, superlative, mad
magazines, plural form, magazine
magics, simple present, magic
magicking, present participle, magic
magicked, past participle, magic
mails, simple present, mail
mailing, present participle, mail
mailed, past tense, mail
mains, plural form, main
maintains, simple present, maintain
maintaining, present participle, maintain
maintained, past tense, maintain
majors, plural form, major
majoring, present participle, major
majored, past participle, major
majorities, plural form, majority
made, past participle, make
making, present participle, make
makes, simple present, make
males, plural form, male
malls, plural form, mall
mans, simple present, man
manning, present participle, man
manned, past tense, man
men, plural form, man
managed, past participle, manage
managing, present participle, manage
manages, simple present, manage
managers, plural form, manager
manners, plural form, manner
more, comparative degree, many
most, superlative, many
maps, simple present, map
mapping, present participle, map
mapped, past tense, map
marches, plural form, march
marched, past participle, march
marching, present participle, march
marks, simple present, mark
marking, present participle, mark
marked, past tense, mark
markets, plural form, market
marketed, past participle, market
marketing, present participle, market
marriages, plural form, marriage
married, past participle, marry
marrying, present participle, marry
marries, simple present, marry
masses, plural form, mass
massed, past participle, mass
massing, present participle, mass
massives, plural form, massive
masters, plural form, master
mastering, present participle, master
mastered, past participle, master
matches, plural form, match
matching, present participle, match
matched, past participle, match
materials, plural form, material
matters, plural form, matter
mattering, present participle, matter
mattered, past participle, matter
maxima, plural form, maximum
might, past tense, may
mays, plural form, may
meals, plural form, meal
means, simple present, mean
meaning, present participle, mean
meant, past participle, mean
meaner, comparative degree, mean
meanest, superlative, mean
meanings, plural form, meaning
measures, plural form, measure
measuring, present participle, measure
measured, past tense, measure
measurements, plural form, measurement
meats, plural form, meat
mediae, plural form, media
medicals, plural form, medical
medicines, plural form, medicine
media, plural form, medium
meeter, comparative degree, meet
meetest, superlative, meet
met, past participle, meet
meeting, present participle, meet
meets, simple present, meet
meetings, plural form, meeting
melts, plural form, melt
melting, present participle, melt
melted, past tense, melt
members, plural form, member
memories, plural form, memory
mentioned, past participle, mention
mentioning, present participle, mention
mentions, simple present, mention
menus, plural form, menu
messes, plural form, mess
messed, past participle, mess
messing, present participle, mess
messages, simple present, message
messaging, present participle, message
messaged, past tense, message
metals, plural form, metal
metaled, past participle, metal
metaling, present participle, metal
methods, plural form, method
metres, plural form, metre
middles, plural form, middle
middled, past participle, middle
middling, present participle, middle
milder, comparative degree, mild
mildest, superlative, mild
miles, plural form, mile
militaries, plural form, military
milked, past participle, milk
milking, present participle, milk
milks, simple present, milk
millions, plural form, million
minds, plural form, mind
minding, present participle, mind
minded, past participle, mind
mines, simple present, mine
mining, present participle, mine
mined, past tense, mine
minerals, plural form, mineral
minimums, plural form, minimum
ministers, plural form, minister
ministered, past tense, minister
ministering, present participle, minister
minors, plural form, minor
minored, past participle, minor
minoring, present participle, minor
minorities, plural form, minority
minuter, comparative degree, minute
minutest, superlative, minute
minutes, plural form, minute
minuting, present participle, minute
minuted, past participle, minute
mirrors, simple present, mirror
mirroring, present participle, mirror
mirrored, past tense, mirror
misses, plural form, miss
missing, present participle, miss
missed, past participle, miss
missions, plural form, mission
missioning, present participle, mission
missioned, past participle, mission
mistakes, plural form, mistake
mistaking, present participle, mistake
mistook, past tense, mistake
mistaken, past participle, mistake
mixes, simple present, mix
mixing, present participle, mix
mixed, past participle, mix
mixtures, plural form, mixture
mobiles, plural form, mobile
models, plural form, model
modeled, past participle, model
modeling, present participle, model
moderns, plural form, modern
modifies, simple present, modify
modifying, present participle, modify
modified, past tense, modify
moments, plural form, moment
mondays, plural form, monday
moneys, plural form, money
monitors, plural form, monitor
monitoring, present participle, monitor
monitored, past tense, monitor
monkeys, plural form, monkey
months, plural form, month
moods, plural form, mood
moons, plural form, moon
mooning, present participle, moon
mooned, past participle, moon
morals, plural form, moral
mornings, plural form, morning
mothers, plural form, mother
mothering, present participle, mother
mothered, past tense, mother
motors, plural form, motor
motoring, present participle, motor
motored, past tense, motor
motorcycles, plural form, motorcycle
motorcycled, past tense, motorcycle
motorcycling, present participle, motorcycle
mounts, simple present, mount
mounting, present participle, mount
mounted, past participle, mount
mountains, plural form, mountain
mice, plural form, mouse
mouses, simple present, mouse
mousing, present participle, mouse
moused, past participle, mouse
mouths, plural form, mouth
mouthing, present participle, mouth
mouthed, past participle, mouth
moves, plural form, move
moving, present participle, move
moved, past tense, move
movements, plural form, movement
movies, plural form, movie
more, comparative degree, much
most, superlative, much
muds, plural form, mud
multiples, plural form, multiple
multiplying, present participle, multiply
multiplied, past tense, multiply
multiplies, simple present, multiply
mums, simple present, mum
mumming, present participle, mum
mummed, past participle, mum
murders, plural form, murder
murdering, present participle, murder
murdered, past participle, murder
muscles, plural form, muscle
muscling, present participle, muscle
muscled, past participle, muscle
museums, plural form, museum
musicals, plural form, musical
musicians, plural form, musician
musts, plural form, must
mysteries, plural form, mystery
nails, plural form, nail
nailed, past participle, nail
nailing, present participle, nail
names, simple present, name
naming, present participle, name
named, past tense, name
narratives, plural form, narrative
narrows, simple present, narrow
narrowing, present participle, narrow
narrowed, past tense, narrow
narrower, comparative degree, narrow
narrowest, superlative, narrow
nations, plural form, nation
nationals, plural form, national
natives, plural form, native
naturals, plural form, natural
natures, plural form, nature
nearer, comparative degree, near
nearest, superlative, near
neater, comparative degree, neat
neatest, superlative, neat
neats, plural form, neat
necessaries, plural form, necessary
necks, plural form, neck
necking, present participle, neck
necked, past participle, neck
needs, plural form, need
needing, present participle, need
needed, past participle, need
needles, plural form, needle
needling, present participle, needle
needled, past tense, needle
negatives, plural form, negative
negatived, past participle, negative
negativing, present participle, negative
neighbours, plural form, neighbour
neighbouring, present participle, neighbour
neighboured, past participle, neighbour
neighbourhoods, plural form, neighbourhood
nerves, simple present, nerve
nerving, present participle, nerve
nerved, past tense, nerve
nets, plural form, net
netted, past participle, net
netting, present participle, net
networks, plural form, network
networking, present participle, network
networked, past participle, network
newer, comparative degree, new
newest, superlative, new
newspapers, plural form, newspaper
nicer, comparative degree, nice
nicest, superlative, nice
nights, plural form, night
nightmares, plural form, nightmare
nines, plural form, nine
nineteens, plural form, nineteen
noes, plural form, no
nobodies, plural form, nobody
noises, plural form, noise
noised, past participle, noise
noising, present participle, noise
noisier, comparative degree, noisy
noisiest, superlative, noisy
normals, plural form, normal
noses, simple present, nose
nosing, present participle, nose
nosed, past tense, nose
notes, plural form, note
noting, present participle, note
noted, past participle, note
nothings, plural form, nothing
notices, simple present, notice
noticing, present participle, notice
noticed, past tense, notice
notions, plural form, notion
novels, plural form, novel
novembers, plural form, november
numbers, plural form, number
numbered, past participle, number
numbering, present participle, number
nurses, simple present, nurse
nursing, present participle, nurse
nursed, past tense, nurse
nuts, plural form, nut
nutted, past participle, nut
nutting, present participle, nut
obeys, simple present, obey
obeying, present participle, obey
obeyed, past tense, obey
objects, plural form, object
objecting, present participle, object
objected, past tense, object
objectives, plural form, objective
obligations, plural form, obligation
observations, plural form, observation
observed, past participle, observe
observing, present participle, observe
observes, simple present, observe
obtains, simple present, obtain
obtaining, present participle, obtain
obtained, past participle, obtain
occasions, plural form, occasion
occasioning, present participle, occasion
occasioned, past participle, occasion
occurs, simple present, occur
occurring, present participle, occur
occurred, past tense, occur
oceans, plural form, ocean
o's, plural form, o
octobers, plural form, october
odds, plural form, odd
offs, simple present, off
offing, present participle, off
offed, past tense, off
offences, plural form, offence
offends, simple present, offend
offending, present participle, offend
offended, past tense, offend
offensives, plural form, offensive
offers, simple present, offer
offering, present participle, offer
offered, past tense, offer
offices, plural form, office
officers, plural form, officer
officered, past participle, officer
officering, present participle, officer
officials, plural form, official
oils, plural form, oil
oiling, present participle, oil
oiled, past tense, oil
ok's, simple present, ok
ok'ing, present participle, ok
ok'd, past tense, ok
older, comparative degree, old
oldest, superlative, old
olds, plural form, old
old-fashioneds, plural form, old-fashioned
onned, past participle, on
onning, present participle, on
ons, simple present, on
ones, plural form, one
onions, plural form, onion
opens, simple present, open
opening, present participle, open
opened, past tense, open
openings, plural form, opening
operated, past participle, operate
operating, present participle, operate
operates, simple present, operate
operations, plural form, operation
opinions, plural form, opinion
opponents, plural form, opponent
opportunities, plural form, opportunity
opposed, past participle, oppose
opposing, present participle, oppose
opposes, simple present, oppose
opposites, plural form, opposite
oppositions, plural form, opposition
options, plural form, option
optioned, past participle, option
optioning, present participle, option
oranges, plural form, orange
orders, plural form, order
ordered, past participle, order
ordering, present participle, order
ordinaries, plural form, ordinary
organs, plural form, organ
organizations, plural form, organization
organizes, simple present, organize
organizing, present participle, organize
organized, past tense, organize
organizers, plural form, organizer
origins, plural form, origin
originals, plural form, original
outed, past participle, out
outing, present participle, out
outs, simple present, out
outcomes, plural form, outcome
outlines, plural form, outline
outlining, present participle, outline
outlined, past participle, outline
outsides, plural form, outside
ovens, plural form, oven
overs, plural form, over
overed, past participle, over
overing, present participle, over
overalls, plural form, overall
owes, simple present, owe
owing, present participle, owe
owed, past tense, owe
owned, past participle, own
owning, present participle, own
owns, simple present, own
owners, plural form, owner
paces, plural form, pace
paced, past participle, pace
pacing, present participle, pace
packed, past participle, pack
packing, present participle, pack
packs, simple present, pack
packages, plural form, package
packaged, past participle, package
packaging, present participle, package
pages, plural form, page
paged, past participle, page
paging, present participle, page
pains, plural form, pain
paining, present participle, pain
pained, past participle, pain
paints, plural form, paint
painted, past participle, paint
painting, present participle, paint
painters, plural form, painter
paintings, plural form, painting
pairs, simple present, pair
pairing, present participle, pair
paired, past tense, pair
palaces, plural form, palace
pales, plural form, pale
paled, past participle, pale
paling, present participle, pale
paler, comparative degree, pale
palest, superlative, pale
pans, plural form, pan
panned, past participle, pan
panning, present participle, pan
panels, plural form, panel
panelling, present participle, panel
panelled, past participle, panel
papers, plural form, paper
papering, present participle, paper
papered, past participle, paper
paragraphs, simple present, paragraph
paragraphing, present participle, paragraph
paragraphed, past tense, paragraph
parents, plural form, parent
parented, past participle, parent
parenting, present participle, parent
parks, plural form, park
parking, present participle, park
parked, past participle, park
parliaments, plural form, parliament
parts, simple present, part
parting, present participle, part
parted, past tense, part
participants, plural form, participant
participated, past tense, participate
participating, present participle, participate
participates, simple present, participate
particulars, plural form, particular
partners, plural form, partner
partnering, present participle, partner
partnered, past tense, partner
parties, simple present, party
partying, present participle, party
partied, past tense, party
passes, simple present, pass
passing, present participle, pass
passed, past tense, pass
passages, plural form, passage
passaging, present participle, passage
passaged, past participle, passage
passengers, plural form, passenger
passions, plural form, passion
passports, plural form, passport
pasts, plural form, past
paths, plural form, path
patients, plural form, patient
patterns, plural form, pattern
patterned, past participle, pattern
patterning, present participle, pattern
pays, simple present, pay
paying, present participle, pay
paid, past participle, pay
payments, plural form, payment
pens, plural form, pen
penned, past participle, pen
penning, present participle, pen
pencils, plural form, pencil
pencilling, present participle, pencil
pencilled, past participle, pencil
penciling, present participle, pencil
penciled, past tense, pencil
pennies, plural form, penny
pensions, plural form, pension
pensioned, past participle, pension
pensioning, present participle, pension
peoples, simple present, people
peopling, present participle, people
peopled, past tense, people
peppers, plural form, pepper
peppered, past participle, pepper
peppering, present participle, pepper
percentages, plural form, percentage
perfected, past participle, perfect
perfecting, present participle, perfect
perfects, simple present, perfect
performs, simple present, perform
performing, present participle, perform
performed, past tense, perform
performances, plural form, performance
periods, plural form, period
permanents, plural form, permanent
permissions, plural form, permission
permissioned, past participle, permission
permissioning, present participle, permission
permitted, past participle, permit
permitting, present participle, permit
permits, simple present, permit
people, plural form, person
personals, plural form, personal
personalities, plural form, personality
perspectives, plural form, perspective
persuades, simple present, persuade
persuading, present participle, persuade
persuaded, past tense, persuade
pets, plural form, pet
petting, present participle, pet
petted, past participle, pet
phases, plural form, phase
phased, past participle, phase
phasing, present participle, phase
phenomena, plural form, phenomenon
philosophies, plural form, philosophy
phones, plural form, phone
phoning, present participle, phone
phoned, past participle, phone
photos, plural form, photo
photoed, past participle, photo
photoing, present participle, photo
photographs, simple present, photograph
photographing, present participle, photograph
photographed, past tense, photograph
photographers, plural form, photographer
phrases, plural form, phrase
phrased, past participle, phrase
phrasing, present participle, phrase
physicals, plural form, physical
pianos, plural form, piano
picks, simple present, pick
picking, present participle, pick
picked, past tense, pick
pictures, simple present, picture
picturing, present participle, picture
pictured, past tense, picture
pieces, plural form, piece
pieced, past participle, piece
piecing, present participle, piece
pigs, plural form, pig
pigging, present participle, pig
pigged, past tense, pig
piles, simple present, pile
piling, present participle, pile
piled, past tense, pile
pilots, plural form, pilot
piloting, present participle, pilot
piloted, past tense, pilot
pins, plural form, pin
pinning, present participle, pin
pinned, past participle, pin
pinker, comparative degree, pink
pinkest, superlative, pink
pinks, plural form, pink
pinked, past participle, pink
pinking, present participle, pink
pipes, simple present, pipe
piping, present participle, pipe
piped, past tense, pipe
pitched, past participle, pitch
pitching, present participle, pitch
pitches, simple present, pitch
places, simple present, place
placing, present participle, place
placed, past tense, place
plainer, comparative degree, plain
plainest, superlative, plain
plains, plural form, plain
plans, simple present, plan
planning, present participle, plan
planned, past tense, plan
planes, plural form, plane
planed, past participle, plane
planing, present participle, plane
planets, plural form, planet
plants, plural form, plant
planted, past participle, plant
planting, present participle, plant
plastics, plural form, plastic
plates, plural form, plate
plated, past participle, plate
plating, present participle, plate
platforms, plural form, platform
plays, simple present, play
playing, present participle, play
played, past participle, play
players, plural form, player
pleases, simple present, please
pleasing, present participle, please
pleased, past tense, please
pleasures, plural form, pleasure
pleasuring, present participle, pleasure
pleasured, past participle, pleasure
plots, plural form, plot
plotted, past participle, plot
plotting, present participle, plot
pluses, plural form, plus
pockets, plural form, pocket
pocketed, past participle, pocket
pocketing, present participle, pocket
poems, plural form, poem
poets, plural form, poet
points, plural form, point
pointed, past participle, point
pointing, present participle, point
poisons, plural form, poison
poisoned, past participle, poison
poisoning, present participle, poison
polices, simple present, police
policing, present participle, police
policed, past participle, police
policemen, plural form, policeman
policies, plural form, policy
politer, comparative degree, polite
politest, superlative, polite
politicians, plural form, politician
pools, plural form, pool
pooled, past participle, pool
pooling, present participle, pool
poorer, comparative degree, poor
poorest, superlative, poor
pops, plural form, pop
popped, past participle, pop
popping, present participle, pop
populations, plural form, population
ported, past participle, port
porting, present participle, port
ports, simple present, port
portraits, plural form, portrait
poses, simple present, pose
posing, present participle, pose
posed, past participle, pose
positions, plural form, position
positioning, present participle, position
positioned, past participle, position
positives, plural form, positive
possesses, simple present, possess
possessing, present participle, possess
possessed, past tense, possess
possessions, plural form, possession
possibilities, plural form, possibility
possibles, plural form, possible
posts, plural form, post
posting, present participle, post
posted, past participle, post
posters, plural form, poster
pots, simple present, pot
potting, present participle, pot
potted, past tense, pot
potatoes, plural form, potato
potentials, plural form, potential
pounds, plural form, pound
pounded, past participle, pound
pounding, present participle, pound
pours, simple present, pour
pouring, present participle, pour
poured, past tense, pour
powders, plural form, powder
powdering, present participle, powder
powdered, past participle, powder
powers, plural form, power
powered, past participle, power
powering, present participle, power
practicals, plural form, practical
practiced, past participle, practice
practicing, present participle, practice
practices, simple present, practice
practises, simple present, practise
practising, present participle, practise
practised, past tense, practise
praises, simple present, praise
praising, present participle, praise
praised, past tense, praise
prayed, past tense, pray
praying, present participle, pray
prays, simple present, pray
prayers, plural form, prayer
predicts, simple present, predict
predicting, present participle, predict
predicted, past tense, predict
predictions, plural form, prediction
preferred, past participle, prefer
preferring, present participle, prefer
prefers, simple present, prefer
preparations, plural form, preparation
prepares, simple present, prepare
preparing, present participle, prepare
prepared, past participle, prepare
presences, plural form, presence
presents, simple present, present
presenting, present participle, present
presented, past participle, present
presentations, plural form, presentation
preserved, past participle, preserve
preserving, present participle, preserve
preserves, simple present, preserve
presidents, plural form, president
pressed, past participle, press
pressing, present participle, press
presses, simple present, press
pressures, plural form, pressure
pressured, past participle, pressure
pressuring, present participle, pressure
pretended, past participle, pretend
pretending, present participle, pretend
pretends, simple present, pretend
prettier, comparative degree, pretty
prettiest, superlative, pretty
pretties, plural form, pretty
prevented, past participle, prevent
preventing, present participle, prevent
prevents, simple present, prevent
prices, plural form, price
priced, past tense, price
pricing, present participle, price
priests, plural form, priest
primaries, plural form, primary
primed, past participle, prime
priming, present participle, prime
primes, simple present, prime
princes, plural form, prince
princesses, plural form, princess
principles, plural form, principle
prints, simple present, print
printing, present participle, print
printed, past tense, print
printers, plural form, printer
printings, plural form, printing
priorities, plural form, priority
prisons, plural form, prison
prisoning, present participle, prison
prisoned, past participle, prison
prisoners, plural form, prisoner
privates, plural form, private
prizes, plural form, prize
prizing, present participle, prize
prized, past tense, prize
problems, plural form, problem
procedures, plural form, procedure
processes, simple present, process
processing, present participle, process
processed, past tense, process
produces, simple present, produce
producing, present participle, produce
produced, past tense, produce
producers, plural form, producer
products, plural form, product
productions, plural form, production
professions, plural form, profession
professionals, plural form, professional
professors, plural form, professor
profiles, plural form, profile
profiled, past participle, profile
profiling, present participle, profile
profits, plural form, profit
profited, past participle, profit
profiting, present participle, profit
programs, plural form, program
programming, present participle, program
programmed, past tense, program
programs, plural form, programme
programming, present participle, programme
programmed, past tense, programme
progresses, plural form, progress
progressed, past participle, progress
progressing, present participle, progress
projects, simple present, project
projecting, present participle, project
projected, past tense, project
promises, plural form, promise
promising, present participle, promise
promised, past tense, promise
promoted, past participle, promote
promoting, present participle, promote
promotes, simple present, promote
pronounces, simple present, pronounce
pronouncing, present participle, pronounce
pronounced, past participle, pronounce
proofs, plural form, proof
proofed, past participle, proof
proofing, present participle, proof
propers, plural form, proper
properties, plural form, property
proposals, plural form, proposal
proposes, simple present, propose
proposing, present participle, propose
proposed, past tense, propose
prospects, plural form, prospect
prospecting, present participle, prospect
prospected, past participle, prospect
protected, past participle, protect
protecting, present participle, protect
protects, simple present, protect
protections, plural form, protection
protests, simple present, protest
protesting, present participle, protest
protested, past participle, protest
prouder, comparative degree, proud
proudest, superlative, proud
proved, past tense, prove
proving, present participle, prove
proves, simple present, prove
provides, simple present, provide
providing, present participle, provide
provided, past tense, provide
psychologists, plural form, psychologist
psychologies, plural form, psychology
pubs, plural form, pub
publications, plural form, publication
publishes, simple present, publish
publishing, present participle, publish
published, past tense, publish
pulls, plural form, pull
pulling, present participle, pull
pulled, past tense, pull
punishes, simple present, punish
punishing, present participle, punish
punished, past tense, punish
punishments, plural form, punishment
pupils, plural form, pupil
purchases, simple present, purchase
purchasing, present participle, purchase
purchased, past tense, purchase
purer, comparative degree, pure
purest, superlative, pure
purples, plural form, purple
purpled, past participle, purple
purpling, present participle, purple
purposes, plural form, purpose
purposed, past participle, purpose
purposing, present participle, purpose
pursues, simple present, pursue
pursuing, present participle, pursue
pursued, past tense, pursue
pushed, past participle, push
pushing, present participle, push
pushes, simple present, push
putting, present participle, put
puts, simple present, put
qualifications, plural form, qualification
qualified, past participle, qualify
qualifying, present participle, qualify
qualifies, simple present, qualify
qualities, plural form, quality
quantities, plural form, quantity
quarters, plural form, quarter
quartered, past participle, quarter
quartering, present participle, quarter
queens, plural form, queen
queening, present participle, queen
queened, past participle, queen
questions, plural form, question
questioning, present participle, question
questioned, past tense, question
queues, plural form, queue
queued, past participle, queue
queuing, present participle, queue
quicker, comparative degree, quick
quickest, superlative, quick
quiets, simple present, quiet
quieting, present participle, quiet
quieted, past tense, quiet
quieter, comparative degree, quiet
quietest, superlative, quiet
quits, simple present, quit
quitting, present participle, quit
quotations, plural form, quotation
quotes, plural form, quote
quoting, present participle, quote
quoted, past participle, quote
races, plural form, race
raced, past participle, race
racing, present participle, race
radios, simple present, radio
radioing, present participle, radio
radioed, past tense, radio
railways, plural form, railway
rains, plural form, rain
raining, present participle, rain
rained, past participle, rain
raised, past participle, raise
raising, present participle, raise
raises, simple present, raise
ranges, plural form, range
ranged, past participle, range
ranging, present participle, range
ranks, plural form, rank
ranked, past participle, rank
ranking, present participle, rank
ranker, comparative degree, rank
rankest, superlative, rank
rarer, comparative degree, rare
rarest, superlative, rare
rates, plural form, rate
rating, present participle, rate
rated, past participle, rate
reaches, simple present, reach
reaching, present participle, reach
reached, past tense, reach
reacts, simple present, react
reacting, present participle, react
reacted, past tense, react
reactions, plural form, reaction
reading, present participle, read
reads, simple present, read
readers, plural form, reader
readings, plural form, reading
readier, comparative degree, ready
readiest, superlative, ready
readied, past participle, ready
readying, present participle, ready
readies, simple present, ready
reals, plural form, real
realities, plural form, reality
realizes, simple present, realize
realises, simple present, realize
realizing, present participle, realize
realising, present participle, realize
realized, past tense, realize
reasons, simple present, reason
reasoning, present participle, reason
reasoned, past tense, reason
recalled, past participle, recall
recalling, present participle, recall
recalls, simple present, recall
receipts, plural form, receipt
receives, simple present, receive
receiving, present participle, receive
received, past tense, receive
receptions, plural form, reception
recipes, plural form, recipe
recognizes, simple present, recognize
recognizing, present participle, recognize
recognized, past tense, recognize
recommended, past participle, recommend
recommending, present participle, recommend
recommends, simple present, recommend
recommendations, plural form, recommendation
records, simple present, record
recording, present participle, record
recorded, past tense, record
recordings, plural form, recording
recovers, simple present, recover
recovering, present participle, recover
recovered, past participle, recover
recycled, past participle, recycle
recycling, present participle, recycle
recycles, simple present, recycle
redder, comparative degree, red
reddest, superlative, red
reds, plural form, red
reduced, past participle, reduce
reducing, present participle, reduce
reduces, simple present, reduce
reductions, plural form, reduction
referred, past participle, refer
referring, present participle, refer
refers, simple present, refer
references, plural form, reference
referencing, present participle, reference
referenced, past tense, reference
reflects, simple present, reflect
reflecting, present participle, reflect
reflected, past tense, reflect
refused, past participle, refuse
refusing, present participle, refuse
refuses, simple present, refuse
regarded, past participle, regard
regarding, present participle, regard
regards, simple present, regard
regions, plural form, region
registers, plural form, register
registered, past participle, register
registering, present participle, register
regrets, simple present, regret
regretting, present participle, regret
regretted, past tense, regret
regulars, plural form, regular
regulations, plural form, regulation
rejects, plural form, reject
rejecting, present participle, reject
rejected, past tense, reject
relates, simple present, relate
relating, present participle, relate
related, past tense, relate
relations, plural form, relation
relationships, plural form, relationship
relatives, plural form, relative
relaxed, past participle, relax
relaxing, present participle, relax
relaxes, simple present, relax
releases, plural form, release
releasing, present participle, release
released, past participle, release
reliefs, plural form, relief
religions, plural form, religion
relied, past participle, rely
relying, present participle, rely
relies, simple present, rely
remained, past participle, remain
remaining, present participle, remain
remains, simple present, remain
remarks, plural form, remark
remarking, present participle, remark
remarked, past participle, remark
remembered, past participle, remember
remembering, present participle, remember
remembers, simple present, remember
reminds, simple present, remind
reminding, present participle, remind
reminded, past tense, remind
remotes, plural form, remote
remoter, comparative degree, remote
remotest, superlative, remote
removed, past participle, remove
removing, present participle, remove
removes, simple present, remove
rents, simple present, rent
renting, present participle, rent
rented, past tense, rent
repaired, past participle, repair
repairing, present participle, repair
repairs, simple present, repair
repeated, past participle, repeat
repeating, present participle, repeat
repeats, simple present, repeat
replaces, simple present, replace
replacing, present participle, replace
replaced, past participle, replace
replies, plural form, reply
replying, present participle, reply
replied, past tense, reply
reports, plural form, report
reported, past participle, report
reporting, present participle, report
reporters, plural form, reporter
represents, simple present, represent
representing, present participle, represent
represented, past participle, represent
representatives, plural form, representative
reputations, plural form, reputation
requests, simple present, request
requesting, present participle, request
requested, past tense, request
required, past participle, require
requiring, present participle, require
requires, simple present, require
requirements, plural form, requirement
rescues, simple present, rescue
rescuing, present participle, rescue
