abolishes, simple present, abolish
smashed, past tense, smash
snaps, plural form, snap
snapping, present participle, snap
snapped, past participle, snap
soaks, simple present, soak
soaking, present participle, soak
soaked, past participle, soak
soared, past participle, soar
soaring, present participle, soar
soars, simple present, soar
socialists, plural form, socialist
soles, plural form, sole
soled, past participle, sole
soling, present participle, sole
solicitors, plural form, solicitor
solos, plural form, solo
soloed, past participle, solo
soloing, present participle, solo
sounder, comparative degree, sound
soundest, superlative, sound
sounds, simple present, sound
sounding, present participle, sound
sounded, past tense, sound
sovereignties, plural form, sovereignty
spams, plural form, spam
spammed, past participle, spam
spamming, present participle, spam
spans, plural form, span
spanned, past participle, span
spanning, present participle, span
spares, plural form, spare
sparing, present participle, spare
spared, past tense, spare
sparks, plural form, spark
sparked, past participle, spark
sparking, present participle, spark
specialized, past participle, specialize
specializing, present participle, specialize
specializes, simple present, specialize
specifications, plural form, specification
specifies, simple present, specify
specifying, present participle, specify
specified, past participle, specify
specimens, plural form, specimen
spectacles, plural form, spectacle
spectaculars, plural form, spectacular
spectators, plural form, spectator
spectra, plural form, spectrum
speculated, past participle, speculate
speculating, present participle, speculate
speculates, simple present, speculate
speculations, plural form, speculation
spelled, past participle, spell
spelling, present participle, spell
spells, simple present, spell
spheres, plural form, sphere
sphered, past participle, sphere
sphering, present participle, sphere
spills, plural form, spill
spilling, present participle, spill
spilled, past tense, spill
spins, simple present, spin
spinning, present participle, spin
spun, past tense, spin
spines, plural form, spine
spites, simple present, spite
spiting, present participle, spite
spited, past tense, spite
spoils, simple present, spoil
spoiling, present participle, spoil
spoiled, past tense, spoil
spokesmen, plural form, spokesman
spokespeople, plural form, spokesperson
spokeswomen, plural form, spokeswoman
spotlights, plural form, spotlight
spotlighting, present participle, spotlight
spotlit, past participle, spotlight
spotlighted, past tense, spotlight
spouses, plural form, spouse
spies, simple present, spy
spying, present participle, spy
spied, past tense, spy
squads, plural form, squad
squeezes, simple present, squeeze
squeezing, present participle, squeeze
squeezed, past tense, squeeze
stabs, plural form, stab
stabbing, present participle, stab
stabbed, past participle, stab
stabilized, past participle, stabilize
stabilizing, present participle, stabilize
stabilizes, simple present, stabilize
stakes, plural form, stake
staked, past participle, stake
staking, present participle, stake
stalls, plural form, stall
stalling, present participle, stall
stalled, past participle, stall
stances, plural form, stance
starker, comparative degree, stark
starkest, superlative, stark
starves, simple present, starve
starving, present participle, starve
starved, past participle, starve
steams, simple present, steam
steaming, present participle, steam
steamed, past tense, steam
steers, simple present, steer
steering, present participle, steer
steered, past tense, steer
stems, plural form, stem
stemming, present participle, stem
stemmed, past participle, stem
stereotypes, plural form, stereotype
stereotyped, past participle, stereotype
stereotyping, present participle, stereotype
stimulates, simple present, stimulate
stimulating, present participle, stimulate
stimulated, past tense, stimulate
stimuli, plural form, stimulus
stirs, simple present, stir
stirring, present participle, stir
stirred, past tense, stir
strains, plural form, strain
straining, present participle, strain
strained, past tense, strain
strands, plural form, strand
stranded, past participle, strand
stranding, present participle, strand
strengthens, simple present, strengthen
strengthening, present participle, strengthen
strengthened, past participle, strengthen
strips, plural form, strip
stripped, past participle, strip
stripping, present participle, strip
strove, past tense, strive
striven, past participle, strive
striving, present participle, strive
strives, simple present, strive
strokes, simple present, stroke
stroking, present participle, stroke
stroked, past tense, stroke
stumbles, simple present, stumble
stumbling, present participle, stumble
stumbled, past participle, stumble
stuns, simple present, stun
stunning, present participle, stun
stunned, past participle, stun
submissions, plural form, submission
subscribers, plural form, subscriber
subscriptions, plural form, subscription
subsidies, plural form, subsidy
substantials, plural form, substantial
substitutes, simple present, substitute
substituting, present participle, substitute
substituted, past participle, substitute
substitutions, plural form, substitution
suburbs, plural form, suburb
successions, plural form, succession
successors, plural form, successor
sucks, plural form, suck
sucking, present participle, suck
sucked, past participle, suck
sues, simple present, sue
suing, present participle, sue
sued, past tense, sue
sufferings, plural form, suffering
suicides, plural form, suicide
suites, plural form, suite
summits, plural form, summit
summited, past participle, summit
summiting, present participle, summit
supers, plural form, super
superiors, plural form, superior
supervised, past participle, supervise
supervising, present participle, supervise
supervises, simple present, supervise
supervisors, plural form, supervisor
supplements, plural form, supplement
supplemented, past participle, supplement
supplementing, present participle, supplement
suppressed, past participle, suppress
suppressing, present participle, suppress
suppresses, simple present, suppress
surges, simple present, surge
surging, present participle, surge
surged, past tense, surge
surgeons, plural form, surgeon
surpluses, plural form, surplus
surrenders, simple present, surrender
surrendering, present participle, surrender
surrendered, past tense, surrender
survivals, plural form, survival
survivors, plural form, survivor
suspends, simple present, suspend
suspending, present participle, suspend
suspended, past participle, suspend
suspensions, plural form, suspension
suspicions, plural form, suspicion
sustains, simple present, sustain
sustaining, present participle, sustain
sustained, past tense, sustain
swallows, plural form, swallow
swallowed, past participle, swallow
swallowing, present participle, swallow
swings, simple present, swing
swinging, present participle, swing
swung, past participle, swing
swords, plural form, sword
syndromes, plural form, syndrome
syntheses, plural form, synthesis
tackles, plural form, tackle
tackling, present participle, tackle
tackled, past participle, tackle
tactics, plural form, tactic
tags, plural form, tag
tagged, past participle, tag
tagging, present participle, tag
taps, simple present, tap
tapping, present participle, tap
tapped, past tense, tap
taxpayers, plural form, taxpayer
temples, plural form, temple
tempted, past participle, tempt
tempting, present participle, tempt
tempts, simple present, tempt
tenants, plural form, tenant
tenanting, present participle, tenant
tenanted, past participle, tenant
tendencies, plural form, tendency
tenders, plural form, tender
tendering, present participle, tender
tendered, past participle, tender
tensions, plural form, tension
terminals, plural form, terminal
terminates, simple present, terminate
terminating, present participle, terminate
terminated, past participle, terminate
terms, plural form, terms
termed, past participle, terms
terming, present participle, terms
terrains, plural form, terrain
terrifies, simple present, terrify
terrifying, present participle, terrify
terrified, past tense, terrify
territories, plural form, territory
terrors, plural form, terror
terrorists, plural form, terrorist
testifies, simple present, testify
testifying, present participle, testify
testified, past tense, testify
testimonies, plural form, testimony
tests, plural form, testing
tested, past tense, testing
textbooks, plural form, textbook
textures, plural form, texture
textured, past participle, texture
texturing, present participle, texture
theatricals, plural form, theatrical
thefts, plural form, theft
theologies, plural form, theology
therapists, plural form, therapist
theses, plural form, thesis
threads, plural form, thread
threaded, past participle, thread
threading, present participle, thread
thresholds, plural form, threshold
thrived, past tense, thrive
thriving, present participle, thrive
thrives, simple present, thrive
thumbs, plural form, thumb
thumbing, present participle, thumb
thumbed, past participle, thumb
tides, plural form, tide
tiding, present participle, tide
tided, past participle, tide
tightened, past participle, tighten
tightening, present participle, tighten
tightens, simple present, tighten
timbers, plural form, timber
timbered, past participle, timber
timbering, present participle, timber
timelier, comparative degree, timely
timeliest, superlative, timely
timings, plural form, timing
tissues, plural form, tissue
tobaccos, plural form, tobacco
tolerances, plural form, tolerance
tolerated, past participle, tolerate
tolerating, present participle, tolerate
tolerates, simple present, tolerate
tolls, simple present, toll
tolling, present participle, toll
tolled, past tense, toll
tons, plural form, ton
tonnes, plural form, tonne
tops, plural form, top
topping, present participle, top
topped, past tense, top
tortured, past participle, torture
torturing, present participle, torture
tortures, simple present, torture
tosses, plural form, toss
tossing, present participle, toss
tossed, past tense, toss
totals, simple present, total
totalling, present participle, total
totalled, past tense, total
tournaments, plural form, tournament
toxics, plural form, toxic
traces, plural form, trace
tracing, present participle, trace
traced, past tense, trace
trademarks, plural form, trademark
tragedies, plural form, tragedy
trails, plural form, trail
trailing, present participle, trail
trailed, past participle, trail
trailers, plural form, trailer
trailered, past participle, trailer
trailering, present participle, trailer
traits, plural form, trait
transactions, plural form, transaction
transcripts, plural form, transcript
transformations, plural form, transformation
transits, plural form, transit
transiting, present participle, transit
transited, past participle, transit
transmissions, plural form, transmission
transmits, simple present, transmit
transmitting, present participle, transmit
transmitted, past tense, transmit
transparencies, plural form, transparency
traps, plural form, trap
trapping, present participle, trap
trapped, past participle, trap
traumas, plural form, trauma
treasures, simple present, treasure
treasuring, present participle, treasure
treasured, past tense, treasure
treaties, plural form, treaty
tribes, plural form, tribe
tribunals, plural form, tribunal
tributes, plural form, tribute
triggers, simple present, trigger
triggering, present participle, trigger
triggered, past tense, trigger
trios, plural form, trio
triumphs, plural form, triumph
triumphing, present participle, triumph
triumphed, past participle, triumph
troops, simple present, troop
trooping, present participle, troop
trooped, past tense, troop
trophies, plural form, trophy
trustees, plural form, trustee
trusteed, past participle, trustee
trusteeing, present participle, trustee
tsunamis, plural form, tsunami
turnouts, plural form, turnout
turnovers, plural form, turnover
twists, simple present, twist
twisting, present participle, twist
twisted, past participle, twist
uncertainties, plural form, uncertainty
undergoes, simple present, undergo
undergoing, present participle, undergo
underwent, past tense, undergo
undergone, past participle, undergo
undergraduates, plural form, undergraduate
undermines, simple present, undermine
undermining, present participle, undermine
undermined, past tense, undermine
undertakes, simple present, undertake
undertaking, present participle, undertake
undertook, past tense, undertake
undertaken, past participle, undertake
unfolds, simple present, unfold
unfolding, present participle, unfold
unfolded, past tense, unfold
unfortunates, plural form, unfortunate
unified, past participle, unify
unifying, present participle, unify
unifies, simple present, unify
unites, simple present, unite
uniting, present participle, unite
united, past tense, unite
unities, plural form, unity
universals, plural form, universal
unveiled, past participle, unveil
unveiling, present participle, unveil
unveils, simple present, unveil
upgrades, plural form, upgrade
upgrading, present participle, upgrade
upgraded, past tense, upgrade
upholds, simple present, uphold
upholding, present participle, uphold
upheld, past tense, uphold
usages, plural form, usage
utilities, plural form, utility
utilizes, simple present, utilize
utilizing, present participle, utilize
utilized, past tense, utilize
vacuums, simple present, vacuum
vacuuming, present participle, vacuum
vacuumed, past tense, vacuum
vaguer, comparative degree, vague
vaguest, superlative, vague
vanished, past tense, vanish
vanishing, present participle, vanish
vanishes, simple present, vanish
variables, plural form, variable
variations, plural form, variation
veins, plural form, vein
veining, present participle, vein
veined, past participle, vein
ventures, simple present, venture
venturing, present participle, venture
ventured, past tense, venture
verbals, plural form, verbal
verballing, present participle, verbal
verballed, past participle, verbal
verdicts, plural form, verdict
verifies, simple present, verify
verifying, present participle, verify
verified, past tense, verify
verses, plural form, verse
versed, past participle, verse
versing, present participle, verse
verticals, plural form, vertical
vessels, plural form, vessel
veterans, plural form, veteran
vices, plural form, vice
vicing, present participle, vice
viced, past tense, vice
viewpoints, plural form, viewpoint
villagers, plural form, villager
violated, past participle, violate
violating, present participle, violate
violates, simple present, violate
violations, plural form, violation
virtues, plural form, virtue
visas, plural form, visa
visaed, past participle, visa
visaing, present participle, visa
vocals, plural form, vocal
voluntaries, plural form, voluntary
vows, plural form, vow
vowed, past participle, vow
vowing, present participle, vow
wandered, past participle, wander
wandering, present participle, wander
wanders, simple present, wander
wards, plural form, ward
warded, past participle, ward
warding, present participle, ward
warehouses, plural form, warehouse
warehoused, past participle, warehouse
warehousing, present participle, warehouse
warrants, plural form, warrant
warranted, past participle, warrant
warranting, present participle, warrant
warriors, plural form, warrior
weakened, past participle, weaken
weakening, present participle, weaken
weakens, simple present, weaken
weaves, plural form, weave
weaved, past participle, weave
weaving, present participle, weave
wove, past tense, weave
weeds, plural form, weed
weeding, present participle, weed
weeded, past participle, weed
weeklies, plural form, weekly
weirder, comparative degree, weird
weirdest, superlative, weird
weirds, plural form, weird
better, comparative degree, well
best, superlative, well
wells, plural form, well
welled, past participle, well
welling, present participle, well
whips, simple present, whip
whipping, present participle, whip
whipped, past tense, whip
widened, past participle, widen
widening, present participle, widen
widens, simple present, widen
widows, plural form, widow
widowed, past participle, widow
widowing, present participle, widow
widths, plural form, width
wipes, simple present, wipe
wiping, present participle, wipe
wiped, past tense, wipe
wits, plural form, wit
witting, present participle, wit
wist, past participle, wit
withdrew, past tense, withdraw
withdrawn, past participle, withdraw
withdrawing, present participle, withdraw
withdraws, simple present, withdraw
withdrawals, plural form, withdrawal
workforces, plural form, workforce
workouts, plural form, workout
workplaces, plural form, workplace
workshops, plural form, workshop
worms, simple present, worm
worming, present participle, worm
wormed, past tense, worm
worshiped, past participle, worship
worshiping, present participle, worship
worships, simple present, worship
worshipped, past tense, worship
worthies, plural form, worthy
worthier, comparative degree, worthy
worthiest, superlative, worthy
wrists, plural form, wrist
yells, plural form, yell
yelled, past participle, yell
yelling, present participle, yell
yields, simple present, yield
yielding, present participle, yield
yielded, past tense, yield
youngsters, plural form, youngster
